district,state,district_census_code,state_census_code,total,rural,urban
Samba,Jammu & Kashmir,22,1,1.4,1.4,
Chamba,Himachal Pradesh,23,2,3.6,3.8,
Kangra,Himachal Pradesh,24,2,4.5,4.5,
Lahul and Spiti,Himachal Pradesh,25,2,3.3,3.3,
Kullu,Himachal Pradesh,26,2,3.9,4,
Mandi,Himachal Pradesh,27,2,2.8,3.1,
Hamirpur,Himachal Pradesh,28,2,3.7,3.9,
Una,Himachal Pradesh,29,2,6.9,7.2,
Bilaspur,Himachal Pradesh,30,2,2.3,2.4,
Solan,Himachal Pradesh,31,2,4.4,5.1,
Sirmaur,Himachal Pradesh,32,2,0.3,0.4,
Shimla,Himachal Pradesh,33,2,1.1,1.2,
Kinnaur,Himachal Pradesh,34,2,2.8,2.8,
Gurdaspur,Punjab,35,3,8.3,9,
Kapurthala,Punjab,36,3,5.8,4.4,8.2
Jalandhar,Punjab,37,3,2,1.2,2.5
Hoshiarpur,Punjab,38,3,4.6,3.3,
Sahid Bhagat Singh Nagar,Punjab,39,3,5.3,3.5,-11.9
Fatehgarh Sahib,Punjab,40,3,2.4,2.8,1.7
Ludhiana,Punjab,41,3,7.5,4.5,9.2
Moga,Punjab,42,3,4.8,5.9,
Firozpur,Punjab,43,3,6.3,8.8,
Muktsar,Punjab,44,3,3.7,2.9,
Faridkot,Punjab,45,3,3.3,2.6,5.2
Bathinda,Punjab,46,3,4.4,4.9,3.9
Mansa,Punjab,47,3,4.9,2.1,
Patiala,Punjab,48,3,2.4,2.6,2.3
Amritsar,Punjab,49,3,3.5,3,4.1
Tarn Taran,Punjab,50,3,5,4.3,
Rup Nagar,Punjab,51,3,2.5,2.7,
Sahibzada Ajit Singh Nagar,Punjab,52,3,0.3,0.7,0
Sangrur,Punjab,53,3,3.7,3.1,
Barnala,Punjab,54,3,3,3.5,1.8
Uttarkashi,Uttarakhand,56,5,1.6,1.7,
Chamoli,Uttarakhand,57,5,7.3,6.8,
Rudraprayag,Uttarakhand,58,5,1,1.1,
Tehri Garhwal,Uttarakhand,59,5,1.3,1.5,
Dehradun,Uttarakhand,60,5,2.4,3.6,1.4
Garhwal,Uttarakhand,61,5,1.5,1.3,
Pithoragarh,Uttarakhand,62,5,2.2,2.6,
Bageshwar,Uttarakhand,63,5,6.9,6.8,
Almora,Uttarakhand,64,5,3.3,3.6,
Champawat,Uttarakhand,65,5,2.7,2,
Nainital,Uttarakhand,66,5,10.2,12.2,6.9
Udham Singh Nagar,Uttarakhand,67,5,8.8,9.5,7.9
Hardwar,Uttarakhand,68,5,3.5,3.8,3.2
Panchkula,Haryana,69,6,1.5,1.3,1.7
Ambala,Haryana,70,6,1.5,1.5,1.4
Yamunanagar,Haryana,71,6,3,2.8,3.3
Kurukshetra,Haryana,72,6,3.5,3.6,
Kaithal,Haryana,73,6,5.4,6.5,
Karnal,Haryana,74,6,4.3,4.8,2.9
Panipat,Haryana,75,6,10.4,8.3,12.5
Sonipat,Haryana,76,6,6.9,4.4,12.2
Jind,Haryana,77,6,1.9,1.2,
Fatehabad,Haryana,78,6,5.8,4.9,
Sirsa,Haryana,79,6,6.6,8,
Hisar,Haryana,80,6,3,2.3,5.5
Bhiwani,Haryana,81,6,4.7,5.3,
Rohtak,Haryana,82,6,3.4,2.7,4.5
Jhajjar,Haryana,83,6,3.8,3.4,
Mahendragarh,Haryana,84,6,2.2,2.6,
Rewari,Haryana,85,6,5.3,6.3,
Gurgaon,Haryana,86,6,4.6,3.8,4.9
Mewat,Haryana,87,6,8.6,7.6,
Faridabad,Haryana,88,6,10.9,,10.9
Palwal,Haryana,89,6,11.6,13.5,
North West,NCT Delhi,90,7,3.3,,3.3
North,NCT Delhi,91,7,4.6,,4.7
North East,NCT Delhi,92,7,4.4,,4.4
East,NCT Delhi,93,7,2.3,,2.3
New Delhi,NCT Delhi,94,7,5.2,,5.2
Central,NCT Delhi,95,7,2.9,,2.9
West,NCT Delhi,96,7,6,,6
South West,NCT Delhi,97,7,1.5,,0.8
South,NCT Delhi,98,7,5.6,,5.6
Ganganagar,Rajasthan,99,8,1.5,1.3,
Hanumangarh,Rajasthan,100,8,6.4,6.6,
Bikaner,Rajasthan,101,8,7.5,9.2,3.9
Churu,Rajasthan,102,8,6.7,6.5,
Jhunjhunun,Rajasthan,103,8,1,1.4,
Alwar,Rajasthan,104,8,1.6,1.8,
Bharatpur,Rajasthan,105,8,2.4,2,
Dhaulpur,Rajasthan,106,8,1.9,1.6,
Karauli,Rajasthan,107,8,1.4,1.6,
Sawai Madhopur,Rajasthan,108,8,2.5,2.2,
Dausa,Rajasthan,109,8,2.5,2.6,
Jaipur,Rajasthan,110,8,1.7,0.2,3.3
Sikar,Rajasthan,111,8,3.7,4.6,
Nagaur,Rajasthan,112,8,4.4,4.3,
Jodhpur,Rajasthan,113,8,5.8,7.2,2.2
Jaisalmer,Rajasthan,114,8,12.7,13.2,
Barmer,Rajasthan,115,8,10.2,10.2,
Jalor,Rajasthan,116,8,4,4.1,
Sirohi,Rajasthan,117,8,1.8,1.5,
Pali,Rajasthan,118,8,2.5,2.5,
Ajmer,Rajasthan,119,8,1.3,1.2,1.6
Tonk,Rajasthan,120,8,2.4,0,
Bundi,Rajasthan,121,8,1.2,1.2,
Bhilwara,Rajasthan,122,8,2.4,2.4,
Rajsamand,Rajasthan,123,8,3,2.9,
Dungarpur,Rajasthan,124,8,0.9,0.9,
Banswara,Rajasthan,125,8,2.5,2.6,
Chittaurgarh,Rajasthan,126,8,3.2,3.7,
Kota,Rajasthan,127,8,1,0.6,1.3
Baran,Rajasthan,128,8,0,0,
